TransactionID,TransactionAmt,TransactionDT,ProductCD,UserID,Merchant,CardNumber,BINNumber,CardNetwork,CardTier,CardType,PhoneNumbers,UserRegion,OrderRegion,ReceiverRegion,Distance,SenderEmail,MerchantEmail,DeviceType,DeviceInfo,DaysSinceLastTransac,SameCardDaysDiff,SameAddressDaysDiff,SameMerchantEmailDaysDiff,SameDeviceTypeDaysDiff,DeviceMatching,DeviceMismatch,RegionMismatch,TransactionConsistency,TransactionCount,UniqueMerchants,SameOrderRegionCount,SameDeviceCount,UniqueOrderRegion,TransactionTimeSlot,HourWithinTimeSlot,TransactionWeekday,AvgTransactionInterval,TransactionAmountVariance,TransactionRatio,MedianTransactionAmount,AvgTransactionAmtIn24Hrs,TransactionVelocity,TimingAnomaly,RegionAnomaly,HourlyTransactionCount,isFraud
14246,229.87,2024-01-01 01:56:47,Retail,1412,Reliance Digital,4610739051101589,461073,Visa,Black,Debit,+91 9361538774,Ramanagara,Ramanagara,Ramanagara,48.21,,retail@reliancedigital.com,mobile,,,,0.0,0.0,0.0,0,0,0,0,3,4,8,,2,3,3,0,2,4,4,7,2,0,0,0,1,1
22007,219.92,2024-01-01 02:23:47,Retail,1412,Reliance Digital,4610739051101589,461073,Visa,Black,Debit,+91 9361538774,Ramanagara,Ramanagara,Ramanagara,48.21,,retail@reliancedigital.com,mobile,Vivo,,,0.0,0.0,0.0,0,0,0,0,3,4,8,,2,3,3,0,2,4,4,7,2,0,0,0,1,1
12736,278.94,2024-01-01 02:38:16,Consumable,1264,JioMart,4398397037527860,439839,Mastercard,Black,Credit,+91 8640870835,Bengaluru Urban,Hassan,Bengaluru Urban,162.0,,consumable@jiomart.com,mobile,Samsung,,,0.0,0.0,0.0,0,0,0,0,1,3,1,3.0,2,4,0,0,2,3,5,8,2,0,1,0,1,0
13239,63.63,2024-01-01 02:56:08,Wallet,1315,Uber,4318046173123490,431804,Visa,Gold,Debit,+91 9200531449,Chikkamagaluru,Chikkamagaluru,Chikkamagaluru,92.35,meena@rediffmail.com,wallet@uber.com,desktop,Windows,,,0.0,0.0,0.0,1,0,0,0,3,4,4,4.0,3,4,0,0,1,3,2,1,0,0,0,0,1,0
14405,24.67,2024-01-01 03:44:24,Household,1428,Pepperfry,4224378286342821,422437,Visa,Gold,Debit,+91 8056377939,Bengaluru Urban,Belagavi,Chitradurga,271.04,sonia@aol.in,household@pepperfry.com,mobile,,,,0.0,0.0,0.0,0,1,1,1,1,5,1,,4,4,1,0,2,7,0,2,0,0,1,0,1,1
14759,200.9,2024-01-01 05:47:09,Wallet,1463,Amazon,4022962119714985,402296,Visa,Platinum,Prepaid,+91 8752063016,Mysuru,Mysuru,Bengaluru Urban,127.9,suresh@bsnl.in,wallet@amazon.com,mobile,Realme,,,0.0,0.0,0.0,0,0,1,0,3,6,3,2.0,5,4,3,0,2,1,5,1,1,0,1,0,1,0
21882,198.05,2024-01-01 08:33:09,Wallet,1463,Amazon,4022962119714985,402296,Visa,Platinum,Prepaid,+91 8752063016,Mysuru,Mysuru,Bengaluru Urban,127.9,suresh@bsnl.in,wallet@amazon.com,mobile,Realme,,,0.0,0.0,0.0,0,0,1,0,3,6,3,2.0,5,4,3,0,2,1,5,1,1,0,1,0,1,0
12999,80.67,2024-01-01 08:50:57,Wallet,1292,Google Play,4068122206087259,406812,Visa,Platinum,Debit,+91 9300067634,Bengaluru Urban,Mangaluru,Bengaluru Urban,298.77,vikas@aol.in,wallet@googleplay.com,mobile,iOS Device,,,0.0,0.0,0.0,1,0,0,0,1,6,1,3.0,5,5,2,0,1,2,1,6,0,0,1,0,1,1
17244,56.18,2024-01-01 08:59:21,Consumable,1715,BigBasket,4429679950493797,442967,Visa,Black,Debit,+91 8147637324,Bengaluru Urban,Bengaluru Urban,Bengaluru Urban,47.96,sonia@outlook.co.in,consumable@bigbasket.com,desktop,Windows,,,0.0,0.0,0.0,1,0,0,0,9,9,9,5.0,5,5,2,0,0,2,2,3,0,0,0,0,1,0
12631,84.94,2024-01-01 09:37:25,Household,1255,Hometown,4208648091983815,420864,Mastercard,Platinum,Debit,+91 9161431648,Mysuru,Mysuru,Mysuru,24.2,kavita@bsnl.in,household@hometown.com,mobile,Samsung,,,0.0,0.0,0.0,0,0,0,0,2,5,6,3.0,4,5,3,0,2,8,2,0,0,0,1,0,1,0
12339,67.29,2024-01-01 09:57:50,Wallet,1227,Flipkart,4851737435224893,485173,American Express,Platinum,Debit,+91 9313887464,Hubli-Dharwad,Hubli-Dharwad,Bengaluru Urban,391.77,,wallet@flipkart.com,desktop,,,,0.0,0.0,0.0,0,0,1,0,5,6,5,,3,5,3,0,1,0,3,1,0,0,1,0,1,0
12575,10.63,2024-01-01 11:06:50,Retail,1249,Reliance Digital,4810852326361454,481085,Rupay,Platinum,Debit,+91 7231287972,Bengaluru Urban,Bengaluru Urban,Chikkamagaluru,201.32,shreya@outlook.co.in,retail@reliancedigital.com,desktop,Linux,,,0.0,0.0,0.0,0,1,1,1,5,5,11,1.0,1,0,1,0,2,3,0,3,0,0,1,1,1,0
16367,335.7,2024-01-01 11:34:09,Services,1629,Unacademy,4564505022168122,456450,Visa,Silver,Debit,+91 8362471002,Hubli-Dharwad,Bengaluru Urban,Bengaluru Urban,92.05,ravi@yahoo.co.in,services@unacademy.com,mobile,Samsung,,,0.0,0.0,0.0,1,0,1,0,2,9,2,7.0,4,0,1,0,1,5,5,7,2,0,1,1,1,0
14849,899.41,2024-01-01 12:54:52,Wallet,1472,Google Play,4141019280054257,414101,Visa,Silver,Debit,+91 7980768793,Mysuru,Mysuru,Mysuru,25.21,amit@airtelmail.com,wallet@googleplay.com,mobile,Motorola,,,0.0,0.0,0.0,1,0,0,0,2,7,3,5.0,6,0,2,0,0,7,6,7,2,0,1,0,1,0
16566,37.77,2024-01-01 13:40:40,Consumable,1650,DMart,4686420727565064,468642,Visa,Black,Prepaid,+91 9488067202,Mysuru,Bengaluru Urban,Mysuru,127.9,suresh@rediffmail.com,consumable@dmart.com,mobile,Huawei,,,0.0,0.0,0.0,0,1,0,0,1,2,1,1.0,2,0,3,0,2,3,1,0,0,0,1,1,1,0
14226,588.81,2024-01-01 14:09:59,Wallet,1410,Swiggy Instamart,4276931871718529,427693,Rupay,Platinum,Debit,+91 9311225084,Mysuru,Mysuru,Belagavi,456.17,,wallet@swiggyinstamart.com,mobile,Redmi,,,0.0,0.0,0.0,0,1,1,0,1,2,2,3.0,3,1,0,0,2,6,5,8,2,0,1,1,1,0
21005,339.83,2024-01-01 14:19:09,Services,1629,Unacademy,4564505022168122,456450,Visa,Silver,Debit,+91 8362471002,Hubli-Dharwad,Bengaluru Urban,Bengaluru Urban,92.05,ravi@yahoo.co.in,services@unacademy.com,mobile,Samsung,,,0.0,0.0,0.0,1,0,1,0,2,9,2,7.0,4,0,1,0,1,5,5,7,2,0,1,1,1,0
17425,144.46,2024-01-01 16:04:55,Wallet,1736,Zomato,4503136509673816,450313,Visa,Black,Credit,+91 9238875804,Bengaluru Urban,Bidar,Bidar,40.64,,wallet@zomato.com,mobile,iOS Device,,,0.0,0.0,0.0,1,0,1,0,1,4,1,3.0,3,1,2,0,2,6,3,1,1,0,1,0,1,0
